Origin,Timestamp,Value
Syrian Arab Republic,2011.333333332851,0
Afghanistan,2011.333333332851,5778
Iraq,2011.333333332851,3059
Lebanon,2011.333333332851,150
Palestinian,2011.333333332851,0
Pakistan,2011.333333332851,2739
Iran,2011.333333332851,0
Syrian Arab Republic,2011.416666666181,0
Afghanistan,2011.416666666181,6083
Iraq,2011.416666666181,3358
Lebanon,2011.416666666181,141
Palestinian,2011.416666666181,0
Pakistan,2011.416666666181,2923
Iran,2011.416666666181,0
Syrian Arab Republic,2011.4999999995111,0
Afghanistan,2011.4999999995111,6573
Iraq,2011.4999999995111,3778
Lebanon,2011.4999999995111,169
Palestinian,2011.4999999995111,0
Pakistan,2011.4999999995111,3140
Iran,2011.4999999995111,0
Syrian Arab Republic,2011.5833333328412,0
Afghanistan,2011.5833333328412,7117
Iraq,2011.5833333328412,3854
Lebanon,2011.5833333328412,187
Palestinian,2011.5833333328412,0
Pakistan,2011.5833333328412,3393
Iran,2011.5833333328412,0
Syrian Arab Republic,2011.6666666661713,0
Afghanistan,2011.6666666661713,6930
Iraq,2011.6666666661713,3548
Lebanon,2011.6666666661713,180
Palestinian,2011.6666666661713,0
Pakistan,2011.6666666661713,3379
Iran,2011.6666666661713,0
Syrian Arab Republic,2011.7499999995014,0
Afghanistan,2011.7499999995014,6127
Iraq,2011.7499999995014,3573
Lebanon,2011.7499999995014,163
Palestinian,2011.7499999995014,0
Pakistan,2011.7499999995014,3378
Iran,2011.7499999995014,0
Syrian Arab Republic,2011.8333333328314,0
Afghanistan,2011.8333333328314,5469
Iraq,2011.8333333328314,5601
Lebanon,2011.8333333328314,136
Palestinian,2011.8333333328314,0
Pakistan,2011.8333333328314,3323
Iran,2011.8333333328314,0
Syrian Arab Republic,2011.9166666661615,0
Afghanistan,2011.9166666661615,5422
Iraq,2011.9166666661615,5120
Lebanon,2011.9166666661615,152
Palestinian,2011.9166666661615,0
Pakistan,2011.9166666661615,2944
Iran,2011.9166666661615,0
Syrian Arab Republic,2011.9999999994916,0
Afghanistan,2011.9999999994916,4892
Iraq,2011.9999999994916,2892
Lebanon,2011.9999999994916,182
Palestinian,2011.9999999994916,0
Pakistan,2011.9999999994916,2732
Iran,2011.9999999994916,0
Syrian Arab Republic,2012.0833333328217,0
Afghanistan,2012.0833333328217,4856
Iraq,2012.0833333328217,3048
Lebanon,2012.0833333328217,146
Palestinian,2012.0833333328217,0
Pakistan,2012.0833333328217,2754
Iran,2012.0833333328217,0
Syrian Arab Republic,2012.1666666661517,0
Afghanistan,2012.1666666661517,5167
Iraq,2012.1666666661517,2728
Lebanon,2012.1666666661517,151
Palestinian,2012.1666666661517,0
Pakistan,2012.1666666661517,2850
Iran,2012.1666666661517,0
Syrian Arab Republic,2012.2499999994818,0
Afghanistan,2012.2499999994818,5270
Iraq,2012.2499999994818,2806
Lebanon,2012.2499999994818,177
Palestinian,2012.2499999994818,0
Pakistan,2012.2499999994818,2923
Iran,2012.2499999994818,0
Syrian Arab Republic,2012.333333332812,0
Afghanistan,2012.333333332812,5841
Iraq,2012.333333332812,3413
Lebanon,2012.333333332812,158
Palestinian,2012.333333332812,0
Pakistan,2012.333333332812,3047
Iran,2012.333333332812,0
Syrian Arab Republic,2012.416666666142,0
Afghanistan,2012.416666666142,6505
Iraq,2012.416666666142,3521
Lebanon,2012.416666666142,205
Palestinian,2012.416666666142,0
Pakistan,2012.416666666142,3300
Iran,2012.416666666142,0
Syrian Arab Republic,2012.499999999472,0
Afghanistan,2012.499999999472,7454
Iraq,2012.499999999472,3406
Lebanon,2012.499999999472,272
Palestinian,2012.499999999472,0
Pakistan,2012.499999999472,3630
Iran,2012.499999999472,0
Syrian Arab Republic,2012.583333332802,0
Afghanistan,2012.583333332802,9878
Iraq,2012.583333332802,3142
Lebanon,2012.583333332802,263
Palestinian,2012.583333332802,0
Pakistan,2012.583333332802,3851
Iran,2012.583333332802,0
Syrian Arab Republic,2012.6666666661322,0
Afghanistan,2012.6666666661322,11991
Iraq,2012.6666666661322,3429
Lebanon,2012.6666666661322,276
Palestinian,2012.6666666661322,0
Pakistan,2012.6666666661322,4146
Iran,2012.6666666661322,0
Syrian Arab Republic,2012.7499999994623,0
Afghanistan,2012.7499999994623,10955
Iraq,2012.7499999994623,3871
Lebanon,2012.7499999994623,267
Palestinian,2012.7499999994623,0
Pakistan,2012.7499999994623,4367
Iran,2012.7499999994623,0
Syrian Arab Republic,2012.8333333327923,0
Afghanistan,2012.8333333327923,8527
Iraq,2012.8333333327923,3595
Lebanon,2012.8333333327923,231
Palestinian,2012.8333333327923,0
Pakistan,2012.8333333327923,3737
Iran,2012.8333333327923,0
Syrian Arab Republic,2012.9166666661224,0
Afghanistan,2012.9166666661224,6699
Iraq,2012.9166666661224,3493
Lebanon,2012.9166666661224,244
Palestinian,2012.9166666661224,0
Pakistan,2012.9166666661224,3064
Iran,2012.9166666661224,0
Syrian Arab Republic,2012.9999999994525,0
Afghanistan,2012.9999999994525,5528
Iraq,2012.9999999994525,3959
Lebanon,2012.9999999994525,237
Palestinian,2012.9999999994525,0
Pakistan,2012.9999999994525,2904
Iran,2012.9999999994525,0
Syrian Arab Republic,2013.0833333327826,0
Afghanistan,2013.0833333327826,4927
Iraq,2013.0833333327826,4248
Lebanon,2013.0833333327826,185
Palestinian,2013.0833333327826,0
Pakistan,2013.0833333327826,2922
Iran,2013.0833333327826,0
Syrian Arab Republic,2013.1666666661126,0
Afghanistan,2013.1666666661126,5100
Iraq,2013.1666666661126,4386
Lebanon,2013.1666666661126,175
Palestinian,2013.1666666661126,0
Pakistan,2013.1666666661126,3593
Iran,2013.1666666661126,0
Syrian Arab Republic,2013.2499999994427,0
Afghanistan,2013.2499999994427,5198
Iraq,2013.2499999994427,4514
Lebanon,2013.2499999994427,198
Palestinian,2013.2499999994427,0
Pakistan,2013.2499999994427,4053
Iran,2013.2499999994427,0
Syrian Arab Republic,2013.3333333327728,0
Afghanistan,2013.3333333327728,5759
Iraq,2013.3333333327728,4560
Lebanon,2013.3333333327728,187
Palestinian,2013.3333333327728,0
Pakistan,2013.3333333327728,4279
